SG_UF_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA;TAXA_PART_CAT
RO;11014431;EEEFM MARCOS BISPO SILVA;Estadual;Urbana;102;0;65;63,73;450,07;547,16;472,94;454,46;497,85;Grupo 3;58,8000000000000;72,31;13,50000000000000;16,10000000000000;Maior que 90 alunos;baixa
RO;11015500;EEEFM TUPA;Estadual;Rural;19;0;14;73,68;451,49;549,89;478,11;455,07;494,29;Grupo 3;54,5000000000000;78,57;3,40000000000000;6,90000000000000;De 1 a 30 alunos;media
RO;11015608;EEEFM ALUIZIO FERREIRA;Estadual;Urbana;133;2;83;62,41;452,30;535,51;481,06;426,20;494,94;Grupo 3;60,9000000000000;71,08;10,60000000000000;14,20000000000000;Maior que 90 alunos;baixa
RO;11015616;EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA;Estadual;Rural;32;1;28;87,50;460,73;534,74;478,23;432,43;490,00;Grupo 3;47,2000000000000;82,14;3,60000000000000;3,50000000000000;De 31 a 60 alunos;alta
RO;11015624;EEEFM GONCALVES DIAS;Estadual;Urbana;94;0;80;85,11;486,64;548,62;493,37;452,38;523,50;Grupo 4;65,4000000000000;66,25;11,70000000000000;0,90000000000000;Maior que 90 alunos;media
RO;11015632;EEEFM JULIO GUERRA;Estadual;Urbana;87;2;63;72,41;461,45;534,49;482,40;446,87;508,89;Grupo 3;43,0000000000000;61,90;21,40000000000000;13,10000000000000;De 61 a 90 alunos;media
RO;11015683;EEEFM PROF JOSE FRANCISCO DOS SANTOS;Estadual;Urbana;48;0;33;68,75;450,93;540,37;473,39;445,38;496,36;Grupo 3;56,2000000000000;48,48;8,70000000000000;23,50000000000000;De 31 a 60 alunos;media
RO;11016248;COLEGIO UNEOURO;Privada;Urbana;12;0;11;91,67;507,30;573,78;523,35;500,13;460,00;Grupo 5;46,2000000000000;90,91;0,00000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11016507;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Estadual;Urbana;22;0;17;77,27;426,35;534,09;475,54;431,70;505,88;Grupo 3;44,4000000000000;76,47;18,50000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11017120;EEEFM MARIA GORETTI;Estadual;Urbana;68;0;37;54,41;442,92;531,05;455,79;433,40;470,81;Grupo 3;42,3000000000000;81,08;13,50000000000000;9,40000000000000;De 61 a 90 alunos;baixa
RO;11017384;EEEFM PIONEIRA;Estadual;Urbana;36;0;21;58,33;432,76;523,85;458,06;427,84;470,48;Grupo 3;16,4000000000000;90,48;12,00000000000000;10,80000000000000;De 31 a 60 alunos;baixa
RO;11017775;EEEFM 28 DE NOVEMBRO;Estadual;Urbana;97;1;67;69,07;471,11;552,21;484,85;473,70;527,16;Grupo 3;70,0000000000000;62,69;26,60000000000000;17,40000000000000;Maior que 90 alunos;media
RO;11017791;EEEFM JOAQUIM DE LIMA AVELINO;Estadual;Urbana;76;2;58;76,32;474,76;555,34;500,43;465,41;505,86;Grupo 3;72,0000000000000;75,86;16,00000000000000;6,00000000000000;De 61 a 90 alunos;media
RO;11018089;EEEFM CARLOS DRUMOND DE ANDRADE;Estadual;Urbana;48;0;35;72,92;471,43;535,45;471,26;435,10;541,71;Grupo 3;64,1000000000000;45,71;10,70000000000000;0,60000000000000;De 31 a 60 alunos;media
RO;11018216;EEEFM DONA BENTA;Estadual;Rural;17;0;14;82,35;474,29;538,24;466,49;462,58;447,14;Grupo 2;32,7000000000000;71,43;6,60000000000000;9,80000000000000;De 1 a 30 alunos;media
RO;11018810;EEEFM PROF PAULO FREIRE;Estadual;Urbana;92;0;74;80,43;460,25;550,22;483,04;447,81;481,89;Grupo 3;43,9000000000000;82,43;31,00000000000000;0,00000000000000;Maior que 90 alunos;media
RO;11018950;EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI;Estadual;Urbana;58;0;48;82,76;460,66;543,74;486,68;449,61;489,17;Grupo 3;50,0000000000000;79,17;12,40000000000000;0,00000000000000;De 31 a 60 alunos;media
RO;11021403;EEEFM TUBARAO;Estadual;Urbana;76;0;44;57,89;473,14;543,43;493,22;470,43;521,82;Grupo 3;35,3000000000000;86,36;10,50000000000000;10,00000000000000;De 61 a 90 alunos;baixa
RO;11022221;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Estadual;Urbana;176;1;117;66,48;466,81;555,07;481,68;465,78;486,67;Grupo 2;63,0000000000000;89,74;16,30000000000000;21,10000000000000;Maior que 90 alunos;baixa
RO;11023660;EEEFM JOAQUIM XAVIER DE OLIVEIRA;Estadual;Urbana;25;0;16;64,00;436,86;519,75;457,85;424,29;422,50;Grupo 3;61,5000000000000;68,75;7,10000000000000;1,20000000000000;De 1 a 30 alunos;baixa
RO;11024097;EEEFM OSWALDO PIANA;Estadual;Urbana;129;1;65;50,39;456,74;535,36;465,74;450,31;447,69;Grupo 3;34,9000000000000;83,08;10,80000000000000;0,00000000000000;Maior que 90 alunos;baixa
RO;11024437;EEEFM ARTUR DA COSTA E SILVA;Estadual;Urbana;129;0;85;65,89;470,12;543,55;482,69;438,20;501,41;Grupo 3;42,4000000000000;90,59;5,40000000000000;8,60000000000000;Maior que 90 alunos;baixa
RO;11024968;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;Urbana;72;2;49;68,06;456,58;539,79;483,32;438,99;501,22;Grupo 3;54,5000000000000;69,39;3,70000000000000;6,40000000000000;De 61 a 90 alunos;media
RO;11025638;EEEFM PADRE EZEQUIEL RAMIN;Estadual;Urbana;175;0;102;58,29;453,24;524,89;458,01;438,05;467,25;Grupo 3;47,7000000000000;88,24;3,10000000000000;13,30000000000000;Maior que 90 alunos;baixa
RO;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;Urbana;37;0;34;91,89;493,39;578,02;519,20;510,32;587,06;Grupo 3;53,1000000000000;100,00;11,60000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11026197;EEEFM CARLOS DRUMMOND DE ANDRADE;Estadual;Urbana;144;0;91;63,19;451,64;514,60;457,10;431,08;467,25;Grupo 3;58,7000000000000;71,43;4,20000000000000;16,90000000000000;Maior que 90 alunos;baixa
RO;11026324;ESCOLA DANIEL BERG;Privada;Urbana;75;1;67;89,33;522,23;586,94;528,37;539,32;574,63;Grupo 4;58,8000000000000;64,18;5,40000000000000;1,50000000000000;De 61 a 90 alunos;alta
RO;11027290;EEBP ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;Urbana;52;0;50;96,15;482,98;570,03;499,65;495,67;566,40;Grupo 3;46,2000000000000;100,00;4,80000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11027355;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;Rural;25;0;14;56,00;486,69;511,87;481,09;434,24;481,43;Grupo 3;33,3000000000000;100,00;0,00000000000000;0,00000000000000;De 1 a 30 alunos;baixa
RO;11027401;EEEFM CELSO FERREIRA DA CUNHA;Estadual;Urbana;27;1;21;77,78;450,41;527,69;474,18;422,99;511,43;Grupo 3;58,3000000000000;80,95;9,30000000000000;14,00000000000000;De 1 a 30 alunos;media
RO;11027754;EEEFM JEAN PIAGET;Estadual;Urbana;58;1;41;70,69;449,91;519,51;483,66;448,41;488,78;Grupo 3;55,4000000000000;65,85;18,90000000000000;0,00000000000000;De 31 a 60 alunos;media
RO;11028424;EEEFM 7 DE SETEMBRO;Estadual;Urbana;264;4;188;71,21;468,56;540,41;475,39;458,10;491,95;Grupo 3;57,0000000000000;81,91;11,90000000000000;17,90000000000000;Maior que 90 alunos;media
RO;11028750;EEEFM CARLOS DRUMOND DE ANDRADE;Estadual;Urbana;76;1;52;68,42;475,05;519,65;468,74;431,43;473,08;Grupo 3;34,3000000000000;53,85;3,80000000000000;26,70000000000000;De 61 a 90 alunos;media
RO;11029110;EEEFM MARIA DO CARMO DE OLIVEIRA RABELO;Estadual;Urbana;26;1;14;53,85;438,10;541,93;462,94;445,72;452,86;Grupo 3;46,2000000000000;71,43;14,30000000000000;3,60000000000000;De 1 a 30 alunos;baixa
RO;11029170;EEEFM NILSON SILVA;Estadual;Urbana;39;3;27;69,23;463,27;543,31;487,63;450,58;486,67;Grupo 3;42,3000000000000;70,37;16,30000000000000;0,00000000000000;De 31 a 60 alunos;media
RO;11029307;EEEFM PRISCILA RODRIGUES CHAGAS;Estadual;Urbana;35;0;27;77,14;452,88;528,64;466,69;419,14;507,41;Grupo 3;47,4000000000000;81,48;16,70000000000000;11,90000000000000;De 31 a 60 alunos;media
RO;11029439;EEEFM CANDIDO PORTINARI;Estadual;Urbana;97;2;85;87,63;473,92;555,32;499,10;429,49;523,76;Grupo 3;62,2000000000000;67,06;7,60000000000000;3,40000000000000;Maior que 90 alunos;alta
RO;11029480;EEEFM TANCREDO DE ALMEIDA NEVES;Estadual;Urbana;106;1;77;72,64;477,92;538,33;484,27;437,83;489,35;Grupo 3;59,0000000000000;75,32;26,20000000000000;14,90000000000000;Maior que 90 alunos;media
RO;11029951;EEEFM JUSCELINO KUBITSCHEK;Estadual;Urbana;86;2;65;75,58;460,40;521,66;478,65;445,25;499,69;Grupo 3;53,5000000000000;92,31;4,00000000000000;0,00000000000000;De 61 a 90 alunos;media
RO;11030216;ESCOLA FAMILIA AGRICOLA CHICO MENDES;Privada;Rural;47;0;24;51,06;469,48;548,25;461,05;445,17;518,33;Grupo 2;43,1000000000000;83,33;2,90000000000000;0,80000000000000;De 31 a 60 alunos;baixa
RO;11030372;EEEFM MARECHAL CANDIDO RONDON;Estadual;Urbana;52;0;34;65,38;482,66;562,12;477,04;477,80;478,82;Grupo 3;57,3000000000000;91,18;21,80000000000000;0,00000000000000;De 31 a 60 alunos;baixa
RO;11030666;EEEFM FRANCISCA JULIA DA SILVA;Estadual;Urbana;34;0;22;64,71;477,82;544,90;480,83;419,44;502,73;Grupo 2;31,5000000000000;90,91;0,00000000000000;9,50000000000000;De 31 a 60 alunos;baixa
RO;11031433;CENTRO EDUCACIONAL PROFESSOR PAULO FREIRE;Privada;Urbana;32;4;30;93,75;505,79;579,04;509,99;528,46;649,33;Grupo 4;53,8000000000000;96,67;0,00000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11031913;EEEFM ESTACIO DE SA;Estadual;Rural;14;0;10;71,43;448,92;517,40;428,92;394,47;408,00;Grupo 3;39,5000000000000;90,00;2,10000000000000;4,30000000000000;De 1 a 30 alunos;media
RO;11032260;EEEFM MARECHAL CORDEIRO DE FARIAS;Estadual;Urbana;189;8;123;65,08;467,32;539,68;474,13;432,85;463,09;Grupo 3;59,9000000000000;76,42;5,20000000000000;12,80000000000000;Maior que 90 alunos;baixa
RO;11033215;CENTRO EDUCACIONAL ISOLINA RUTTMANN;Privada;Urbana;62;0;55;88,71;510,99;576,50;521,62;525,71;584,00;Grupo 4;61,5000000000000;85,45;4,30000000000000;0,00000000000000;De 61 a 90 alunos;alta
RO;11033649;E E E F M MARIA ARLETE TOLEDO;Estadual;Urbana;124;1;81;65,32;455,34;539,24;478,28;435,96;508,40;Grupo 3;53,5000000000000;53,09;11,40000000000000;20,10000000000000;Maior que 90 alunos;baixa
RO;11033819;EEEFM MARECHAL RONDON;Estadual;Urbana;118;3;70;59,32;466,12;534,42;481,87;439,49;491,43;Grupo 3;56,2000000000000;41,43;23,10000000000000;0,00000000000000;Maior que 90 alunos;baixa
RO;11034440;EEEFM JOSE DE ANCHIETA;Estadual;Urbana;71;0;40;56,34;469,29;526,25;477,20;432,68;462,50;Grupo 3;42,2000000000000;92,50;10,40000000000000;11,40000000000000;De 61 a 90 alunos;baixa
RO;11035960;EEEFM PAULO DE ASSIS RIBEIRO;Estadual;Urbana;106;0;81;76,42;461,80;521,39;472,57;443,64;482,47;Grupo 4;59,3000000000000;76,54;6,90000000000000;3,00000000000000;Maior que 90 alunos;media
RO;11036397;EEEFM MARECHAL RONDON;Estadual;Rural;23;0;17;73,91;462,11;537,01;443,66;446,59;487,06;Grupo 3;50,0000000000000;76,47;7,40000000000000;11,70000000000000;De 1 a 30 alunos;media
RO;11036486;E E E F M DOUTOR OSWALDO PIANA;Estadual;Urbana;68;1;44;64,71;438,60;511,01;457,93;425,87;453,18;Grupo 3;54,2000000000000;84,09;11,00000000000000;10,50000000000000;De 61 a 90 alunos;baixa
RO;11037016;IFRO - CAMPUS COLORADO DO OESTE;Federal;Rural;132;2;123;93,18;530,07;596,71;534,30;524,56;608,29;Grupo 3;85,8000000000000;99,19;13,50000000000000;0,00000000000000;Maior que 90 alunos;alta
RO;11037474;CENTRO DE ENSINO MINEIRO;Privada;Urbana;28;0;24;85,71;500,15;565,87;507,52;514,28;528,33;Grupo 5;64,3000000000000;66,67;4,60000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11038063;EEEFM ULISSES GUIMARAES;Estadual;Urbana;68;0;37;54,41;446,07;517,63;454,68;416,94;487,03;Grupo 3;53,1000000000000;81,08;4,00000000000000;28,90000000000000;De 61 a 90 alunos;baixa
RO;11038578;ESCOLA MONTEIRO LOBATO;Privada;Urbana;27;0;25;92,59;519,98;590,17;508,95;550,93;529,60;Grupo 4;39,5000000000000;60,00;1,30000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11040076;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Privada;Urbana;14;0;12;85,71;462,66;545,92;491,77;454,13;538,33;Grupo 5;43,6000000000000;91,67;0,00000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11040793;EEEB PROF JOAO BENTO DA COSTA;Estadual;Urbana;662;0;618;93,35;487,04;567,84;515,46;484,05;624,76;Grupo 3;60,0000000000000;59,71;18,10000000000000;11,40000000000000;Maior que 90 alunos;alta
RO;11041951;COOPERATIVA EDUCACIONAL DE VILHENA;Privada;Urbana;20;0;17;85,00;536,74;607,88;575,99;561,27;676,47;Grupo 5;53,8000000000000;70,59;1,90000000000000;0,00000000000000;De 1 a 30 alunos;media
RO;11043857;COLEGIO CLASSE A;Privada;Urbana;42;0;42;100,00;569,40;634,75;580,67;602,39;730,00;Grupo 5;75,0000000000000;90,48;9,30000000000000;0,00000000000000;De 31 a 60 alunos;alta
RO;11045639;COLEGIO CLARICE LISPECTOR LTDA;Privada;Urbana;17;0;17;100,00;547,41;619,46;564,92;550,17;637,65;Grupo 5;46,2000000000000;70,59;0,00000000000000;0,00000000000000;De 1 a 30 alunos;alta
RO;11046740;EEEM JOSINO BRITO;Estadual;Urbana;149;1;116;77,85;471,95;551,53;485,80;461,40;514,34;Grupo 3;63,9000000000000;71,55;11,70000000000000;12,00000000000000;Maior que 90 alunos;media
