NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2015;11;RO;1100130;Machadinho D'Oeste;11008008;EEEFM ALBERTO NEPOMUCENO;Estadual;Urbana;39;0;29;74,36;476,54;558,52;506,27;445,21;500,69;NA;NA;Grupo 3;36,0;0,00;88,9;10,5;0,6;De 31 a 60 alunos
2015;11;RO;1100130;Machadinho D'Oeste;11009080;EEEFM JOAQUIM PEREIRA DA ROCHA;Estadual;Urbana;102;0;61;59,80;469,98;537,46;480,39;441,78;518,36;NA;NA;Grupo 3;48,9;67,21;70,2;17,6;12,2;Maior que 90 alunos
2015;11;RO;1100601;Cacaulândia;11010290;EEEFM FREI HENRIQUE DE COIMBRA;Estadual;Urbana;55;0;32;58,18;470,23;539,53;464,77;420,88;476,88;NA;NA;Grupo 3;58,5;100,00;61,8;28,1;10,1;De 31 a 60 alunos
2015;11;RO;1100114;Jaru;11012994;EEEFM PLACIDO DE CASTRO;Estadual;Urbana;164;2;103;62,80;458,56;535,99;473,00;445,30;491,65;NA;NA;Grupo 3;45,1;66,99;79,0;13,6;7,4;Maior que 90 alunos
2015;11;RO;1100122;Ji-Paraná;11015144;EEEFM RIO URUPA;Estadual;Urbana;29;0;22;75,86;461,21;563,78;501,55;438,00;542,73;NA;NA;Grupo 3;50,0;40,91;61,1;15,3;23,6;De 1 a 30 alunos
2015;11;RO;1100122;Ji-Paraná;11015667;EEEFM LAURO BENNO PREDIGER;Estadual;Urbana;23;0;15;65,22;444,49;561,18;490,04;440,64;529,33;NA;NA;Grupo 3;50,0;60,00;80,5;9,7;9,8;De 1 a 30 alunos
2015;11;RO;1100155;Ouro Preto do Oeste;11017201;EEEFM MONTEIRO LOBATO;Estadual;Urbana;25;0;21;84,00;464,30;531,29;476,42;433,15;508,57;NA;NA;Grupo 3;56,4;42,86;84,3;12,4;3,3;De 1 a 30 alunos
2015;11;RO;1101302;Mirante da Serra;11019956;INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL;Privada;Rural;32;0;28;87,50;494,99;567,15;509,48;501,14;530,00;NA;NA;Grupo 3;50,0;57,14;96,2;3,8;0,0;De 31 a 60 alunos
2015;11;RO;1101708;Urupá;11020504;EEEFM ALTAMIR BILLY SOARES;Estadual;Urbana;104;0;68;65,38;455,46;536,74;470,70;440,10;508,53;NA;NA;Grupo 3;49,0;79,41;83,1;10,0;6,9;Maior que 90 alunos
2015;11;RO;1100049;Cacoal;11026278;EEEFM CORA CORALINA;Estadual;Urbana;232;3;198;85,34;483,37;564,91;506,43;487,93;538,08;NA;NA;Grupo 3;63,0;70,71;82,3;12,7;5,0;Maior que 90 alunos
2015;11;RO;1100049;Cacoal;11027347;EEEFM CLODOALDO NUNES DE ALMEIDA;Estadual;Urbana;303;7;158;52,15;454,12;532,66;465,91;432,19;479,24;NA;NA;Grupo 3;55,3;39,24;77,9;14,6;7,5;Maior que 90 alunos
2015;11;RO;1100288;Rolim de Moura;11029056;EEEFM JOSE ROSALES DOS SANTOS;Estadual;Urbana;28;1;16;57,14;451,56;557,67;490,61;467,33;461,25;NA;NA;Grupo 3;51,9;43,75;90,5;9,5;0,0;De 1 a 30 alunos
2015;11;RO;1100288;Rolim de Moura;11029455;EEEFM CEL ALUIZIO PINHEIRO FERREIRA;Estadual;Urbana;87;1;78;89,66;473,54;554,47;504,74;467,78;533,08;NA;NA;Grupo 4;49,7;48,72;75,4;16,9;7,7;De 61 a 90 alunos
2015;11;RO;1100502;Novo Horizonte do Oeste;11030003;EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO;Estadual;Rural;50;0;28;56,00;453,44;537,80;462,38;421,28;429,29;NA;NA;Grupo 3;57,1;85,71;84,6;10,1;5,3;De 31 a 60 alunos
2015;11;RO;1101203;Ministro Andreazza;11031298;EEEFM NILO COELHO;Estadual;Urbana;74;0;58;78,38;454,38;557,87;477,23;442,93;555,86;NA;NA;Grupo 3;50,0;93,10;93,3;1,1;5,6;De 61 a 90 alunos
2015;11;RO;1100189;Pimenta Bueno;11033070;EEEFM RAIMUNDO EUCLIDES BARBOSA;Estadual;Urbana;135;0;87;64,44;479,30;549,83;490,10;461,94;495,40;NA;NA;Grupo 3;59,2;81,61;78,0;11,5;10,5;Maior que 90 alunos
2015;11;RO;1100304;Vilhena;11033487;EEEFM MACHADO DE ASSIS;Estadual;Urbana;15;0;10;66,67;486,32;551,64;475,82;423,91;478,00;NA;NA;Grupo 3;48,6;60,00;93,8;6,2;0,0;De 1 a 30 alunos
2015;11;RO;1100304;Vilhena;11033738;EPEB STA LUCIA FILIPPINI;Privada;Urbana;22;0;20;90,91;527,59;589,47;539,88;549,59;565,00;NA;NA;Grupo 4;39,5;85,00;96,3;3,7;0,0;De 1 a 30 alunos
2015;11;RO;1100304;Vilhena;11033797;EEEFM ALVARES DE AZEVEDO;Estadual;Urbana;177;6;144;81,36;478,10;548,34;499,26;455,67;515,28;NA;NA;Grupo 4;72,2;48,61;85,6;5,0;9,4;Maior que 90 alunos
2015;11;RO;1100304;Vilhena;11033835;EEEFM ZILDA DA FROTA UCHOA;Estadual;Urbana;97;3;68;70,10;469,38;544,19;482,26;451,34;479,12;NA;NA;Grupo 3;70,9;58,82;59,3;40,7;0,0;Maior que 90 alunos
2015;11;RO;1100056;Cerejeiras;11034998;EEEFM TANCREDO DE ALMEIDA NEVES;Estadual;Urbana;139;0;100;71,94;471,70;552,17;491,82;448,01;519,60;NA;NA;Grupo 3;58,7;82,00;72,8;21,5;5,7;Maior que 90 alunos
2015;11;RO;1101468;Pimenteiras do Oeste;11035080;EEEFM INACIO DE CASTRO;Estadual;Urbana;17;0;11;64,71;429,95;533,15;488,09;397,33;514,55;NA;NA;Grupo 3;53,8;81,82;86,7;10,8;2,5;De 1 a 30 alunos
2015;11;RO;1100205;Porto Velho;11040629;EEEFM JAYME PEIXOTO DE ALENCAR;Estadual;Rural;57;0;39;68,42;436,48;517,04;464,04;437,22;446,67;NA;NA;Grupo 3;54,3;74,36;84,1;9,5;6,4;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11040688;EPEFM TERRA NOVA;Privada;Urbana;41;0;39;95,12;493,41;561,12;516,85;468,38;589,74;NA;NA;Grupo 5;74,4;43,59;83,3;15,7;1,0;De 31 a 60 alunos
2015;11;RO;1100304;Vilhena;11043954;COLEGIO PROFESSOR VANKS;Privada;Urbana;45;0;36;80,00;520,39;578,39;528,88;523,04;595,56;NA;NA;Grupo 5;37,5;52,78;99,1;0,9;0,0;De 31 a 60 alunos
2015;11;RO;1100122;Ji-Paraná;11047208;E E E M JOVEM GONCALVES VILELA;Estadual;Urbana;230;0;206;89,57;473,76;558,84;497,35;473,82;561,84;NA;NA;Grupo 4;52,7;64,08;82,4;12,9;4,7;Maior que 90 alunos
2015;11;RO;1100205;Porto Velho;11048638;ESCOLA ANISIO TEIXEIRA;Estadual;Urbana;36;0;33;91,67;476,38;566,45;521,71;462,65;542,42;NA;NA;Grupo 3;69,2;45,45;86,7;8,9;4,4;De 31 a 60 alunos
2015;11;RO;1100205;Porto Velho;11049073;COLEGIO OBJETIVO MAIS;Privada;Urbana;17;0;17;100,00;646,89;683,16;630,57;676,44;820,00;NA;NA;Grupo 6;72,7;0,00;100,0;0,0;0,0;De 1 a 30 alunos
2015;12;AC;1200203;Cruzeiro do Sul;12000906;ESC JUAREZ IBERNON;Estadual;Rural;62;1;34;54,84;430,80;515,59;437,34;433,32;449,41;NA;NA;Grupo 1;38,5;70,59;77,3;12,5;10,2;De 61 a 90 alunos
2015;12;AC;1200203;Cruzeiro do Sul;12001686;ESC INST ORFANOLOGICO SANTA TERESINHA;Privada;Urbana;33;1;27;81,82;514,86;606,13;550,70;493,58;667,44;NA;NA;Grupo 4;30,8;85,19;92,7;6,4;0,9;De 31 a 60 alunos
2015;12;AC;1200401;Rio Branco;12010928;ESC COLEGIO ADVENTISTA DE RIO BRANCO;Privada;Urbana;80;2;66;82,50;486,67;567,88;506,72;459,46;551,21;NA;NA;Grupo 4;56,4;65,15;96,1;3,9;0,0;De 61 a 90 alunos
2015;12;AC;1200401;Rio Branco;12012181;ESC PROF JOSE RODRIGUES LEITE;Estadual;Urbana;283;1;268;94,70;465,97;551,75;504,64;449,43;562,31;NA;NA;Grupo 3;83,7;65,67;96,3;3,6;0,1;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12012556;ESC PROF HELOISA MOURAO MARQUES;Estadual;Urbana;289;4;178;61,59;446,41;529,53;474,48;417,97;489,44;NA;NA;Grupo 2;53,1;62,36;61,9;31,6;6,5;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12012750;ESC LEONCIO DE CARVALHO;Estadual;Urbana;167;0;114;68,26;464,56;540,38;480,40;446,83;524,39;NA;NA;Grupo 3;79,7;81,58;84,8;8,1;7,1;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12013013;ESC LOURIVAL SOMBRA PEREIRA LIMA;Estadual;Urbana;140;1;95;67,86;461,18;532,63;494,49;439,94;527,58;NA;NA;Grupo 3;84,4;74,74;80,1;8,0;11,9;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12013340;ESCOLA PRESBITERIANA JOAO CALVINO;Estadual;Urbana;407;7;366;89,93;462,45;549,33;494,01;440,51;542,67;NA;NA;Grupo 3;63,5;79,51;97,6;2,0;0,4;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12014370;ESC INSTITUTO IMACULADA CONCEICAO;Privada;Urbana;41;0;35;85,37;503,58;561,41;495,72;480,30;590,29;NA;NA;Grupo 4;71,4;91,43;96,2;3,2;0,6;De 31 a 60 alunos
2015;12;AC;1200013;Acrelândia;12018422;ESC SANTA LUCIA III;Estadual;Rural;33;0;22;66,67;453,45;519,48;475,96;459,90;485,45;NA;NA;Grupo 2;28,6;95,45;97,7;0,0;2,3;De 31 a 60 alunos
2015;12;AC;1200385;Plácido de Castro;12023779;ESC JOAO RICARDO DE FREITAS;Estadual;Urbana;112;0;73;65,18;442,49;528,46;459,88;440,38;487,95;NA;NA;Grupo 2;42,3;93,15;77,3;7,9;14,8;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12027340;ESC LOURIVAL PINHO;Estadual;Urbana;429;8;239;55,71;446,62;525,22;471,27;428,26;497,66;NA;NA;Grupo 2;68,1;69,87;69,5;11,3;19,2;Maior que 90 alunos
2015;12;AC;1200401;Rio Branco;12028835;ESC COLEGIO LATO SENSU;Privada;Urbana;39;0;39;100,00;548,77;642,64;556,52;533,13;711,28;NA;NA;Grupo 6;92,1;79,49;100,0;0,0;0,0;De 31 a 60 alunos
2015;12;AC;1200708;Xapuri;12030953;INSTITUTO FEDERAL DO ACRE - CAMPUS XAPURI;Federal;Urbana;37;0;31;83,78;458,81;552,74;496,21;458,30;527,10;NA;NA;Grupo 3;67,5;90,32;93,5;2,6;3,9;De 31 a 60 alunos
2015;12;AC;1200401;Rio Branco;12031682;ESC COLEGIO SIGMA;Privada;Urbana;19;0;15;78,95;590,13;636,53;585,95;597,96;666,67;NA;NA;Grupo 6;52,3;40,00;99,1;0,9;0,0;De 1 a 30 alunos
2015;13;AM;1303908;São Paulo de Olivença;13007572;ESCOLA ESTADUAL Nª Sª DA ASSUNCAO;Estadual;Urbana;184;1;117;63,59;442,83;528,16;463,95;430,76;531,28;NA;NA;Grupo 2;37,6;90,60;89,3;4,0;6,7;Maior que 90 alunos
2015;13;AM;1300029;Alvarães;13012533;ESCOLA ESTADUAL PROF JOHANNES PETRUS;Estadual;Urbana;117;0;76;64,96;416,56;510,77;456,72;415,04;498,16;NA;NA;Grupo 3;45,7;94,74;85,1;1,7;13,2;Maior que 90 alunos
2015;13;AM;1300839;Caapiranga;13016318;ESCOLA ESTADUAL CARMINA DE CASTRO;Estadual;Urbana;91;3;48;52,75;432,45;514,15;446,42;415,68;506,67;NA;NA;Grupo 3;54,1;93,75;88,6;6,2;5,2;Maior que 90 alunos
2015;13;AM;1301159;Careiro da Várzea;13021036;ESCOLA ESTADUAL TIBURCIO ALVES MOGEIRO;Estadual;Rural;36;0;22;61,11;413,67;498,18;430,82;378,67;489,09;NA;NA;Grupo 1;17,4;95,45;94,7;0,0;5,3;De 31 a 60 alunos
2015;13;AM;1302504;Manacapuru;13022725;ESCOLA ESTADUAL NOSSA SENHORA DE NAZARE;Estadual;Urbana;512;0;316;61,72;440,06;514,58;460,65;417,84;488,29;NA;NA;Grupo 2;56,4;84,49;81,5;16,1;2,4;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13025082;ASSOCIACAO DE CIENCIAS EDUCACAO E TECNOLOGIA DA AMAZONIA - COLEGIO MARTHA FALCAO;Privada;Urbana;77;0;62;80,52;538,66;615,80;563,79;515,22;630,32;NA;NA;Grupo 6;54,4;54,84;87,3;7,3;5,4;De 61 a 90 alunos
2015;13;AM;1302603;Manaus;13025228;REDE SESI DE EDUCACAO - AMAZONAS - UNIDADE DE EDUCACAO DRA EMINA BARBOSA MUSTAFA;Privada;Urbana;50;0;39;78,00;471,62;566,69;527,63;465,37;583,59;NA;NA;Grupo 4;61,9;71,79;95,0;4,5;0,5;De 31 a 60 alunos
2015;13;AM;1302603;Manaus;13026194;CENTRO EDUCACIONAL LA SALLE;Privada;Urbana;237;0;217;91,56;529,25;607,72;562,57;528,47;630,88;NA;NA;Grupo 6;74,8;68,20;84,5;15,5;0,0;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13026550;COLEGIO BRASILEIRO PEDRO SILVESTRE;Estadual;Urbana;255;1;189;74,12;455,90;538,35;497,13;426,92;549,52;NA;NA;Grupo 3;83,7;62,43;90,9;2,7;6,4;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13027131;ESCOLA ESTADUAL ANGELO RAMAZZOTTI;Estadual;Urbana;394;0;272;69,04;455,02;531,57;488,59;429,10;525,15;NA;NA;Grupo 3;91,6;54,78;68,7;17,1;14,2;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13027310;ESCOLA ESTADUAL ENGº ARTHUR AMORIM;Estadual;Urbana;165;0;84;50,91;443,17;520,39;473,37;416,05;489,76;NA;NA;Grupo 4;73,4;64,29;71,9;9,7;18,4;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13027573;ESCOLA ESTADUAL MARCIO NERY;Estadual;Urbana;398;0;250;62,81;447,96;525,30;472,52;423,81;530,40;NA;NA;Grupo 3;85,6;63,60;79,2;5,5;15,3;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13027727;ESCOLA ESTADUAL PROFª ONDINA DE PAULA RIBEIRO;Estadual;Urbana;274;1;169;61,68;447,38;510,19;464,34;416,93;505,25;NA;NA;Grupo 3;66,4;69,82;74,5;6,4;19,1;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13028057;ESCOLA ESTADUAL TIRADENTES;Estadual;Urbana;254;0;131;51,57;436,33;511,65;471,71;413,66;520,61;NA;NA;Grupo 3;65,2;67,94;65,3;6,8;27,9;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13029860;CESF - CENTRO EDUCACIONAL SAO FRANCISCO;Privada;Urbana;15;0;13;86,67;463,72;562,01;499,96;464,00;556,92;NA;NA;Grupo 4;33,3;61,54;97,8;2,2;0,0;De 1 a 30 alunos
2015;13;AM;1302603;Manaus;13029916;CAMPUS MANAUS-CENTRO;Federal;Urbana;104;0;98;94,23;543,82;606,19;557,09;593,88;601,02;NA;NA;Grupo 3;12,6;90,82;84,8;12,4;2,8;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13030272;ESCOLA ESTADUAL DORVAL PORTO;Estadual;Urbana;259;1;130;50,19;432,98;500,98;452,27;404,81;487,38;NA;NA;Grupo 3;74,4;68,46;73,3;6,5;20,2;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13030310;ESCOLA ESTADUAL FREI SILVIO VAGHEGGI;Estadual;Urbana;210;8;150;71,43;453,67;531,65;485,39;431,20;521,84;NA;NA;Grupo 3;83,5;62,00;89,8;1,9;8,3;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13030400;ESCOLA ESTADUAL HOMERO DE MIRANDA LEAO;Estadual;Urbana;293;2;204;69,62;443,63;517,47;471,52;423,30;514,51;NA;NA;Grupo 3;80,2;67,16;95,9;0,8;3,3;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13030450;ESCOLA ESTADUAL JOAO BOSCO PANTOJA EVANGELISTA;Estadual;Urbana;165;0;127;76,97;444,94;520,30;468,79;417,04;511,50;NA;NA;Grupo 3;77,9;64,57;96,8;3,0;0,2;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13030680;ESCOLA ESTADUAL NATHALIA UCHOA;Estadual;Urbana;64;0;47;73,44;447,79;539,81;478,58;420,68;503,40;NA;NA;Grupo 4;70,9;65,96;92,8;1,4;5,8;De 61 a 90 alunos
2015;13;AM;1302603;Manaus;13031066;ESCOLA ESTADUAL DR ISAAC SVERNER;Estadual;Urbana;622;0;350;56,27;444,10;513,39;465,52;410,61;509,20;NA;NA;Grupo 2;82,0;63,71;79,8;2,0;18,2;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13031139;ESCOLA ESTADUAL PROF ANTONIO MAURITY MONTEIRO COELHO;Estadual;Urbana;206;1;116;56,31;438,18;513,89;468,95;411,90;509,48;NA;NA;Grupo 3;61,2;74,14;76,9;5,1;18,0;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13031767;FUNDACAO NOKIA DE ENSINO;Privada;Urbana;115;0;113;98,26;583,88;651,72;591,11;704,14;673,10;NA;NA;Grupo 4;88,9;100,00;84,1;15,9;0,0;Maior que 90 alunos
2015;13;AM;1303569;Rio Preto da Eva;13032879;INST ADVENTISTA AGRO INDUSTRIAL;Privada;Rural;51;0;43;84,31;485,03;565,20;502,05;478,57;537,21;NA;NA;Grupo 4;37,3;58,14;91,9;7,5;0,6;De 31 a 60 alunos
2015;13;AM;1301902;Itacoatiara;13035240;ESCOLA ESTADUAL JOSE CARLOS MARTINS MESTRINHO;Estadual;Urbana;261;1;140;53,64;431,71;504,67;434,92;416,51;483,00;NA;NA;Grupo 2;61,4;77,86;80,6;2,1;17,3;Maior que 90 alunos
2015;13;AM;1300706;Boca do Acre;13045750;ESCOLA ESTADUAL CEL JOSE DE ASSUNCAO;Estadual;Urbana;132;0;74;56,06;445,39;522,69;459,96;423,76;502,43;NA;NA;Grupo 3;54,4;81,08;94,8;0,0;5,2;Maior que 90 alunos
2015;13;AM;1301704;Humaitá;13050141;ESCOLA ESTADUAL OSWALDO CRUZ;Estadual;Urbana;114;0;89;78,07;456,40;532,93;471,26;433,73;534,61;NA;NA;Grupo 3;54,1;80,90;94,2;2,3;3,5;Maior que 90 alunos
2015;13;AM;1302702;Manicoré;13052322;ESCOLA ESTADUAL Nª Sª DAS GRACAS;Estadual;Urbana;76;0;64;84,21;429,85;536,10;470,87;437,61;540,63;NA;NA;Grupo 3;48,3;92,19;98,4;1,6;0,0;De 61 a 90 alunos
2015;13;AM;1303809;São Gabriel da Cachoeira;13057600;IFAM - CAMPUS SAO GABRIEL DA CACHOEIRA;Federal;Urbana;82;0;61;74,39;440,73;537,84;482,13;423,58;535,41;NA;NA;Grupo 2;78,8;98,36;82,0;18,0;0,0;De 61 a 90 alunos
2015;13;AM;1303403;Parintins;13059440;ESCOLA ESTADUAL TOMASZINHO MEIRELLES;Estadual;Urbana;260;0;164;63,08;432,89;512,82;449,29;404,30;490,61;NA;NA;Grupo 2;64,6;71,34;85,7;5,2;9,1;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13064207;INSTITUTO DE EDUCACAO PROF DENIZARD RIVAIL;Privada;Urbana;88;0;80;90,91;498,39;578,00;533,71;482,24;623,75;NA;NA;Grupo 5;64,4;62,50;99,0;1,0;0,0;De 61 a 90 alunos
2015;13;AM;1302603;Manaus;13064215;COLEGIO ADVENTISTA PAUL BERNARD;Privada;Urbana;78;0;71;91,03;483,72;572,67;523,47;494,02;614,08;NA;NA;Grupo 3;42,9;81,69;89,4;10,2;0,4;De 61 a 90 alunos
2015;13;AM;1301704;Humaitá;13073540;CENTRO EDUCACIONAL EVANGELICO BETEL;Privada;Urbana;17;0;14;82,35;510,83;569,86;535,81;452,90;590,00;NA;NA;Grupo 5;23,1;64,29;89,5;0,0;10,5;De 1 a 30 alunos
2015;13;AM;1301902;Itacoatiara;13079220;COLEGIO NOSSA SENHORA DO ROSARIO;Privada;Urbana;17;0;12;70,59;545,47;618,46;550,53;550,42;678,33;NA;NA;Grupo 5;50,0;83,33;97,0;3,0;0,0;De 1 a 30 alunos
2015;13;AM;1300060;Amaturá;13083309;ESCOLA ESTADUAL AMATURA;Estadual;Urbana;70;0;44;62,86;425,15;504,48;435,52;397,76;475,00;NA;NA;Grupo 3;37,5;84,09;89,9;10,1;0,0;De 61 a 90 alunos
2015;13;AM;1302603;Manaus;13087843;ESCOLA ESTADUAL PROFª ADELAIDE TAVARES DE MACEDO;Estadual;Urbana;335;1;231;68,96;447,32;530,82;479,41;419,35;517,84;NA;NA;Grupo 3;83,3;52,38;84,7;3,8;11,5;Maior que 90 alunos
2015;13;AM;1302603;Manaus;13092308;ESCOLA CELUS LTDA;Privada;Urbana;52;0;43;82,69;487,37;578,67;528,59;452,78;614,42;NA;NA;Grupo 4;52,9;76,74;99,5;0,5;0,0;De 31 a 60 alunos
2015;13;AM;1303536;Presidente Figueiredo;13096648;ESCOLA ESTADUAL DE BALBINA;Estadual;Rural;31;0;19;61,29;438,02;502,58;451,80;407,99;469,47;NA;NA;Grupo 3;20,7;78,95;87,0;4,3;8,7;De 31 a 60 alunos
2015;13;AM;1302603;Manaus;13304267;ESCOLA ESTADUAL DE TEMPO INTEGRAL DRA ZILDA ARNS NEUMANN;Estadual;Urbana;24;0;21;87,50;447,69;529,69;461,66;421,44;475,24;NA;NA;Grupo 3;53,2;95,24;97,9;1,0;1,1;De 1 a 30 alunos
2015;13;AM;1302603;Manaus;13313215;ESCOLA ESTADUAL DE TEMPO INTEGRAL JOAO DOS SANTOS BRAGA;Estadual;Urbana;89;0;84;94,38;465,29;550,58;500,31;452,10;558,10;NA;NA;Grupo 3;68,1;90,48;100,0;0,0;0,0;De 61 a 90 alunos
2015;13;AM;1302900;Maués;13321234;IFAM - CAMPUS MAUES;Federal;Urbana;75;1;65;86,67;483,92;567,71;509,99;459,73;616,25;NA;NA;Grupo 3;65,1;100,00;77,6;14,7;7,7;De 61 a 90 alunos
2015;13;AM;1303403;Parintins;13323237;IFAM - CAMPUS PARINTINS;Federal;Urbana;55;0;51;92,73;489,67;577,27;523,15;467,93;597,65;NA;NA;Grupo 3;81,6;94,12;84,5;15,5;0,0;De 31 a 60 alunos
2015;13;AM;1302405;Lábrea;13324233;IFAM - CAMPUS LABREA;Federal;Urbana;80;0;63;78,75;446,28;526,58;472,07;428,45;534,92;NA;NA;Grupo 3;90,3;98,41;83,1;14,7;2,2;De 61 a 90 alunos
2015;14;RR;1400100;Boa Vista;14000539;ESCOLA ESTADUAL PRESIDENTE TANCREDO NEVES;Estadual;Urbana;126;2;77;61,11;444,72;520,61;465,00;423,82;517,66;NA;NA;Grupo 2;71,9;70,13;99,3;0,6;0,1;Maior que 90 alunos
2015;14;RR;1400100;Boa Vista;14001071;ESCOLA ESTADUAL JESUS NAZARENO DE SOUZA CRUZ;Estadual;Urbana;130;3;79;60,77;458,72;521,00;470,87;423,96;491,14;NA;NA;Grupo 3;66,1;82,28;74,6;15,6;9,8;Maior que 90 alunos
